ckpt_year,test_year,model,n_fc,R2_oos_%,dir_hit_%,corr,bull_%,strat_ann_%,strat_dm_ann_%,bh_ann_%,strat_sharpe,strat_dm_sharpe,bh_sharpe,pred_cum_mean_%,pred_cum_std_%
2021,2022,Chronos_Small_Global,49,-0.19660425307759244,26.53061224489796,-0.33,83.6734693877551,-26.185289598258677,-12.163310174074038,-21.29829351137461,-1.9307595253205825,-1.7478614956512382,-1.0830718035936489,0.3556127372831263,0.3191731909104327
2021,2023,Chronos_Small_Global,48,0.1064011750836591,66.66666666666666,0.07946157186278767,97.91666666666666,26.558214804809932,-1.6750272093064345,26.23956296026313,1.6445947232759761,-0.20993639764522787,1.6257449424466792,0.5675639357376316,0.23611456296910344
2021,2024,Chronos_Small_Global,48,0.15550986972101555,70.83333333333334,0.3179548415110725,97.91666666666666,53.174608656936705,11.793048189729816,55.38039212760588,2.0124090830310677,1.8365077132007324,2.0813986967000004,0.362107506672654,0.27495294460523306
2021,2025,Chronos_Small_Global,48,0.622667176635805,70.83333333333334,0.36278766825879283,95.83333333333334,47.84480095456598,49.4180293947553,53.049396875521346,1.7686725162514674,2.6443058107705797,1.9226185508996683,0.5908882992012555,0.545831983911729
2021,2026,Chronos_Small_Global,20,0.5792591181661866,90.0,-0.26315789473684204,100.0,158.43074015588095,0.0,158.43074015588095,2.996121771816396,,2.996121771816396,0.920045490948206,0.3169575285737347
2021,ALL,Chronos_Small_Global,213,0.27396640202315137,61.502347417840376,0.16850991329745355,94.36619718309859,29.419859714126485,27.74363542247822,32.70530195273316,1.2347283365422288,1.6019941348461169,1.279747435242323,0.5108582232074708,0.39752741813205333
2021,2022,TimesFM_20M_Global,49,-4.208155003038039,38.775510204081634,0.17591836734693878,95.91836734693877,-19.168533409159494,10.322064503465022,-21.29829351137461,-0.9640597132170372,0.7132717100837678,-1.0830718035936489,4.0662629417228935,2.293005115071131
2021,2023,TimesFM_20M_Global,48,-2.8414471278971343,66.66666666666666,-0.003256621797655232,97.91666666666666,27.200655682815643,4.505197758223556,26.23956296026313,1.6841344236561988,0.6688398837271824,1.6257449424466792,3.0163610289055622,1.7680025542558975
2021,2024,TimesFM_20M_Global,48,-0.9382437208312222,66.66666666666666,-0.369518019973947,97.91666666666666,50.74216797294153,19.36479499608288,55.38039212760588,1.9459065060437046,1.2133831541034013,2.0813986967000004,4.047128890902667,2.08342592545091
2021,2025,TimesFM_20M_Global,48,0.19148915769211516,75.0,-0.03126356925749023,100.0,53.049396875521346,33.60707473223417,53.049396875521346,1.9226185508996683,2.026889018887655,1.9226185508996683,4.46937239097431,1.8359723960402334
2021,2026,TimesFM_20M_Global,20,0.31305268328767344,90.0,0.019548872180451125,100.0,158.43074015588095,0.0,158.43074015588095,2.996121771816396,,2.996121771816396,7.730355493233473,2.1288671876834595
2021,ALL,TimesFM_20M_Global,213,-1.263227838031522,64.31924882629107,0.075035825959105,98.12206572769952,32.82975375901458,43.10155651794392,32.70530195273316,1.288204981229839,2.010123760593614,1.279747435242323,4.260241243787104,2.3633464815579366
