model,cohort,ckpt,n,R2_OOS_%,acc_%,IC,LS_30d_%,long_30d_%,short_30d_%,LS_ann_%,LS_sharpe
TimesFM_20M_US,2017,2016,106,-20.714604282420535,43.27044025157233,0.015714033806081062,6.623109457240699,0.6093457475589615,6.013763709681737,,
TimesFM_20M_US,2018,2017,131,-2.6141276423245596,48.67684478371501,-0.05505791918005659,-3.5604661024221307,-0.35070408449235796,-3.209762017929773,,
TimesFM_20M_US,2019,2018,113,-14.95824635345986,53.36283185840708,0.06034167276598577,10.995658885023632,8.487289367976151,2.508369517047481,,
TimesFM_20M_US,2020,2019,184,-13.413046039822184,47.3731884057971,0.030995357438693145,0.1012155257390665,11.420209212503579,-11.318993686764513,,
TimesFM_20M_US,2021,2020,327,-37.97333842088355,45.12742099898063,-0.05410345570782775,-3.9845448060401827,-9.841404811733689,5.856860005693506,,
TimesFM_20M_US,2022,2021,88,-21.652150343016373,44.96212121212121,0.08423444049170514,-7.036435482562106,-8.735717100202512,1.699281617640406,,
TimesFM_20M_US,2023,2022,68,-6.3082680854910755,52.94117647058824,0.28476543115623926,14.225673127998276,-1.7720524479244437,15.99772557592272,,
TimesFM_20M_US,ALL,-,1017,-21.08959115828623,47.22058341527367,0.05241279439583143,2.48060151499675,-0.026147730902044457,2.506749245898795,20.837052725972704,0.878178697269126
Chronos_Small_US,2017,2016,106,-20.30977646880403,44.339622641509436,-0.043645615537698065,-5.370139973333572,-5.005203304584729,-0.36493666874884373,,
Chronos_Small_US,2018,2017,131,-0.29638719121494184,50.61068702290077,0.11147707254577482,4.094720992183428,1.399245911013671,2.695475081169757,,
Chronos_Small_US,2019,2018,113,-0.4444417060666117,52.24188790560472,-0.06948233415396901,-3.6991715909103413,-0.014304693530770468,-3.6848668973795706,,
Chronos_Small_US,2020,2019,184,-1.3238061934911727,48.26086956521739,-0.00043728689487777155,-0.7704762705287721,13.32116974605235,-14.091646016581121,,
Chronos_Small_US,2021,2020,327,-17.194804102852746,46.972477064220186,0.14599895393899626,8.502181788841996,-2.910290456928021,11.412472245770017,,
Chronos_Small_US,2022,2021,88,-1.0672410292443146,45.56818181818182,0.13002359902786095,-1.1411705193464918,-6.490578019063207,5.349407499716715,,
Chronos_Small_US,2023,2022,68,0.050107547205346936,51.127450980392155,0.1413902355231515,5.569466968630832,-6.691191428879641,12.260658397510472,,
Chronos_Small_US,ALL,-,1017,-8.061628435719442,48.14159292035397,0.059332089207034096,1.0264873422195826,-0.9130217494171925,1.9395090916367752,8.622493674644495,0.5813794922453621
