window,year,ckpt,model,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,long_ann_%,long_sharpe,short_ann_%,short_sharpe
5,2017,-,zero,163339,251,0.0,,,,,,,0.0,,,,,,,,,,
5,2017,2016,TimesFM_20M_US,163339,251,-35.19666650833497,46.74450070099609,25.146553216750352,74.25931572040245,45.01130836932285,-29.308287804600027,-1.9981056513451945,0.015855096339203095,14.668037090465495,-11.630272938333345,24.59172672406075,-2.849683864042163,0.18751873112288467,0.5143961283788254,5.904318652688477,0.47830060352962134,-35.21260645728851,-2.2561725106113624
5,2017,2016,TimesFM_20M_Global,163339,251,-22.50425495788473,47.43019119744825,44.88857008582948,54.5832946697244,48.42792216633932,-17.693174442934833,-1.1731777377344128,0.013662003278135628,15.081409980642048,-7.021100969418584,17.37035324958528,-2.8896211883875367,0.12134841852354082,0.5760052773259909,13.794928189710479,0.973321047870989,-31.48810263264531,-1.9145430945185833
5,2017,2016,TimesFM_20M_Augmented,163339,251,-64.90877200740029,48.24567310930029,83.54399069974522,14.915757519519598,42.04267898313392,-41.64362670716508,-2.687854808309598,0.02148343654633629,15.493257514662748,-16.525248693319476,39.06610715053813,-2.8038704372193024,-0.012653193112292216,0.06397932052638566,-0.12693180191526235,-0.00792406502676546,-41.51669490524982,-2.9315358167630263
5,2018,-,zero,172418,251,0.0,,,,,,,0.0,,,,,,,,,,
5,2018,2017,TimesFM_20M_US,172418,251,-20.864830801161528,50.714542565161416,39.6147575629491,60.9710644660931,49.911235652059716,-44.18318078454755,-2.0602502522697526,0.016902535641255052,21.445540771501655,-17.533008247836328,42.502677614146776,-5.33682387159247,1.0468827799246947,11.883163108802382,-27.143071307397925,-1.304642710325192,-17.04010947714963,-0.7503693937133803
5,2018,2017,TimesFM_20M_Global,172418,251,-21.91265700124041,50.664083796355364,42.89233741923797,57.845401894814366,50.21807151327926,-45.41358005728004,-2.1122535202531623,0.017442361663097795,21.50006124825255,-18.02126192749208,43.568703882093764,-5.63105805065814,1.0077704483201257,11.749845245539621,-26.210135854938688,-1.2350172861737594,-19.203444202341352,-0.8332036993740434
5,2018,2017,TimesFM_20M_Augmented,172418,251,-134.0465985509367,48.374299667088124,91.49205965823319,8.532244205639806,38.82734412692046,-43.5121879618287,-2.103783778288164,0.04057734386700585,20.68282321162981,-17.266741254693926,45.04080015259802,-4.0409247375214035,2.291963624601213,18.405491347499687,-35.23363044664433,-1.3981566415736761,-8.278557515184369,-0.4733212272739008
5,2019,-,zero,181017,252,0.0,,,,,,,0.0,,,,,,,,,,
5,2019,2018,TimesFM_20M_US,181017,252,-53.2730185930284,50.35770121038355,80.46704070359378,19.014330653617616,44.80209788320807,-17.15766336714825,-0.9292231850370717,0.02544859513471363,18.464523532593237,-6.808596574265179,32.92521031355179,-6.6268888112063,-0.2928471767310839,5.000896432309382,17.702879084276642,0.8575885408600763,-34.8605424514249,-1.6576904210854815
5,2019,2018,TimesFM_20M_Global,181017,252,-21.827278719562383,49.849461652772945,56.09145852739207,43.35163658093831,49.57569368481037,-27.052672442140818,-1.3705673655799797,0.017130243914156924,19.73830190440366,-10.735187477040006,36.713865749130235,-6.9887832421550735,-0.7518437068072008,5.427081108432381,13.05050263558445,0.6609468652697624,-40.10317507772526,-1.7201419988684603
5,2019,2018,TimesFM_20M_Augmented,181017,252,-40.48889334442472,50.04447096129093,74.22611182115547,24.871745723917872,46.51980215237813,-21.748801197249115,-1.1258344796518986,0.02235852422003994,19.31793846283134,-8.630476665575046,35.36644462541663,-6.496913921778792,-0.3201988840548088,4.032240902406312,12.264136512568971,0.5937309701814537,-34.01293770981809,-1.5735698244017586
5,2020,-,zero,190535,253,0.0,,,,,,,0.0,,,,,,,,,,
5,2020,2019,TimesFM_20M_US,190535,253,-18.588441236806453,48.72175715747763,42.95169112819535,56.024651661307615,48.88650194868037,-106.05862420588528,-2.2415475956748847,0.026585656931329794,47.31491064946724,-42.08675563725606,78.12554196878695,-15.851338463668268,-0.7964020900327408,4.267586928492199,37.57285785473899,0.8988487993857303,-143.63148206062428,-2.5316976901241053
5,2020,2019,TimesFM_20M_Global,190535,253,-18.055330996140984,48.451465609992916,48.671029502086114,49.68381564844587,48.810022304334545,-117.69332532852762,-2.463192798173697,0.026335026656334165,47.78080116821949,-46.7037005271935,78.06117477188502,-17.577450738826883,-1.0518392216482377,5.318344675773694,30.676380297759614,0.7294191225302599,-148.36970562628724,-2.612534582459102
5,2020,2019,TimesFM_20M_Augmented,190535,253,-94.77728307877999,49.19778518382449,91.22773577313255,8.133976420150054,38.979168438590726,-42.2419482592912,-1.0568574379524325,0.05562260844651238,39.96939108564276,-16.76267788067111,57.474985185555425,-11.950222989066418,-0.3306560354076074,2.695684434619727,65.00182719250319,1.375702231629917,-107.24377545179438,-2.2365173641318368
5,2021,-,zero,210816,252,0.0,,,,,,,0.0,,,,,,,,,,
5,2021,2020,TimesFM_20M_US,210816,252,-20.156655529646873,48.4375,41.49601658015325,57.286471550769654,48.59270368992142,-40.461818991095384,-1.2621580013302998,0.018029549133399575,32.05764963534605,-16.0562773774188,49.052977217697766,-10.311779352214216,-0.8482863138824838,4.414055943242153,21.03157501483162,0.7543205252652263,-61.49339400592698,-1.6738661581531762
5,2021,2020,TimesFM_20M_Global,210816,252,-22.9812112225096,48.37583485124469,48.47318084155686,49.968155674658775,48.78908123243468,-32.500901122009886,-1.037751239037877,0.01984483175800151,31.318585706669186,-12.897182984924559,50.54041680163384,-10.075012146778217,-0.8768144980734259,4.473781745351879,16.721830856507243,0.5640392629824857,-49.22273197851714,-1.3880046581572936
5,2021,2020,TimesFM_20M_Augmented,210816,252,-103.97446075966465,49.316465543412264,91.58252999448597,7.480966891699898,38.61651509119776,-36.86735910276605,-1.2562235956686356,0.03767594293899342,29.34776836693877,-14.629904405859547,56.528902870584204,-7.178659049986891,0.3260733539375881,2.65709116604188,14.884197217904083,0.42127095460082203,-51.75155632067015,-2.025483807456988
5,2022,-,zero,225028,251,0.0,,,,,,,0.0,,,,,,,,,,
