window,year,ckpt,model,n_members,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,long_ann_%,long_sharpe,short_ann_%,short_sharpe
21,2017,-,zero,421,104739,251,0.0,,,,,,,0.0,,,,,,,,,,
21,2017,2016,TimesFM_20M_US,421,104739,251,-32.431161029890234,46.70466588376823,10.920955651032772,89.23951759045178,39.36970005591185,-2.601490066368167,-0.24882484523592874,0.005381200572917789,10.45510573472479,-1.032337327923876,13.11640270107458,-2.4307226806541156,-0.21614755286793952,0.6267886471170532,18.349371294895594,2.497764989227363,-20.950861361263758,-1.7904325126318419
21,2018,-,zero,429,106840,251,0.0,,,,,,,0.0,,,,,,,,,,
21,2018,2017,TimesFM_20M_US,429,106840,251,-9.0419337900971,49.6948708348933,40.18937113458486,59.70938166721126,49.332448794661566,6.72747529417367,0.47936239236459655,0.005242452827659129,14.0342158695187,2.66963305324352,8.197032331583332,-3.827791593045861,-0.702896360527768,2.5973461413907013,-9.128607231267493,-0.557869232722356,15.85608252544117,0.8302061158586364
21,2019,-,zero,433,108612,252,0.0,,,,,,,0.0,,,,,,,,,,
21,2019,2018,TimesFM_20M_US,433,108612,252,-33.925650217390626,49.5203108312157,48.61397595210545,50.62371123496866,49.44496512337313,-31.418563022571586,-2.182391980360998,0.009607934363224355,14.396388598062261,-12.467683739115708,32.88647746371653,-3.993318986054916,-0.5150908305557172,2.4620336022841682,11.239488727743572,0.7204974696224284,-42.65805175031516,-2.420397142313222
21,2020,-,zero,443,112079,253,0.0,,,,,,,0.0,,,,,,,,,,
21,2020,2019,TimesFM_20M_US,443,112079,253,-19.960710043016828,49.83806065364609,63.1139030214931,35.96979479758062,48.73037226756919,-36.26884582656934,-1.0422936569836772,0.013939744650528425,34.79714721811584,-14.392399137527516,54.715766293931914,-10.612860241037032,-0.5129971068860799,4.065939189481667,-8.009401413999123,-0.1785560839493726,-28.259444412570204,-0.5809643684187883
21,2021,-,zero,453,114156,252,0.0,,,,,,,0.0,,,,,,,,,,
21,2021,2020,TimesFM_20M_US,453,114156,252,-6.228540571069963,50.74371912120257,59.563545122897374,41.22365019154919,50.09429811880721,7.798264325045034,0.4096053576526397,0.004585898184860446,19.038482235035236,3.094549335335331,19.597850129371885,-3.75588969547405,-0.29450323176887444,-0.08412909076439368,38.236177763036615,2.2724471092734535,-30.437913437991583,-1.588536588475584
21,2022,-,zero,459,115209,251,0.0,,,,,,,0.0,,,,,,,,,,
21,2022,2021,TimesFM_20M_US,459,115209,251,-13.670054002422205,49.70358218541954,31.883955546917793,67.20763641349053,47.999012100926606,-21.247254914760024,-0.8854203589296099,0.007708113501363348,23.996799599735837,-8.43145036300001,31.624266843205884,-6.078740775830941,-0.3868432306757397,1.1919885514846178,-29.642281798432343,-1.150548073346649,8.395026883672328,0.25674064356285686
21,2023,-,zero,472,117528,249,0.0,,,,,,,0.0,,,,,,,,,,
21,2023,2022,TimesFM_20M_US,472,117528,249,-6.360342812329489,50.764924103192435,59.00363516192995,42.018664047151276,50.26741201764098,7.403979345328976,0.4634296797185105,0.005017701159457722,15.976489356111568,2.9380870417972127,11.101989428538017,-3.509381333225897,0.3425853153092851,1.2659217638977704,18.361215723086623,1.0479478957675228,-10.957236377757644,-0.5977452472097893
5,2017,-,zero,421,104899,251,0.0,,,,,,,0.0,,,,,,,,,,
5,2017,2016,TimesFM_20M_US,421,104899,251,-83.90052124458455,47.61055872791924,28.646581442114332,70.72287652419993,46.26336304180299,-5.673224779163435,-0.5206485940657325,0.011967457918602386,10.896456542523929,-2.251279674271205,9.687484610518094,-2.7873389499557275,-0.11323365976167203,3.256903440792598,18.225098851678766,2.1627788381459174,-23.898323630842192,-2.1338728067101274
