model,cohort,ckpt,n,R2_OOS_%,acc_%,IC,LS_30d_%,long_30d_%,short_30d_%,LS_ann_%,LS_sharpe
TimesFM_20M_US,2017,2016,41,-16.02768834765311,51.54471544715447,-0.0745644599303136,-2.0152733257732267,-8.160267924386638,6.14499459861341,,
TimesFM_20M_US,2018,2017,62,-5.710153825425812,53.97849462365591,0.03125078693560978,5.7339145676072505,2.1946403870508,3.53927418055645,,
TimesFM_20M_US,2019,2018,35,-8.024419423683348,59.14285714285714,-0.17366946778711484,-5.686735867681953,-9.472546024933365,3.7858101572514125,,
TimesFM_20M_US,2020,2019,30,-9.14242503164957,50.33333333333333,0.34638487208008895,17.820792292127685,18.905468136674212,-1.0846758445465288,,
TimesFM_20M_US,2021,2020,29,-30.901981473269192,51.14942528735632,-0.18669950738916252,-1.166588809850851,-0.7603754026000787,-0.4062134072507723,,
TimesFM_20M_US,2022,2021,48,-13.901797255922133,53.125,0.19376899696048633,19.341435963308385,23.002380836731454,-3.6609448734230705,,
TimesFM_20M_US,2023,2022,41,-18.86184832489446,50.97560975609756,-0.3977351916376307,-8.585144709574369,-5.280220528320804,-3.3049241812535644,,
TimesFM_20M_US,ALL,-,286,-13.647103855029105,53.01864801864802,-0.037323424395433805,3.634628587166131,2.918439925745083,0.7161886614210482,30.53088013219551,0.9462864200605625
