window,year,ckpt,model,n_members,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,IC_mean,IC_t,IC_pos_%,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2017,-,zero,421,103229,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2017,2016,Chronos_Small_US,421,103229,251,-0.16567053345439842,51.208478237704526,68.52972263731458,32.234006591734975,49.055231778946755,5.15174015732843,0.6537982771441223,0.0008746727416126899,7.8797089827644,2.044341332273186,7.037869359027072,-2.0397420651733693,-0.06932027707087471,3.119870603507794,0.008269698937456731,1.5123274232136141,54.581673306772906,24.113844130581185,2.502148936449203,-18.962103973252756,-1.977342719856295
512,2018,-,zero,429,105576,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2018,2017,Chronos_Small_US,429,105576,251,-0.44163525876030896,51.02390694854891,71.83158360855366,29.0733207466376,48.360820907247096,6.798083777108467,0.6889970057506202,0.001187868162190673,9.8666376201481,2.69765229250336,6.560340243331786,-2.6268071550432417,-0.5595214650934843,1.8349485865635553,0.012923792363711025,1.8229724957879643,58.964143426294825,-4.6284500181661,-0.23812521498387526,11.42653379527457,0.7211550509043118
512,2019,-,zero,433,108468,252,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2019,2018,Chronos_Small_US,433,108468,252,-0.5122716681349004,52.172991112586196,69.20247871429291,31.444573904867028,49.30438895460009,4.285516130037354,0.38965592012857353,0.0015023641616101094,10.998206131766908,1.7006016389037117,8.988641873171632,-2.9344116800551325,-0.433282674700883,2.522199609503107,0.010942924110667234,1.3163319581976256,55.158730158730165,26.230313071131565,1.769951889865767,-21.944796941094207,-1.3555525078459745
512,2020,-,zero,443,111067,253,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2020,2019,Chronos_Small_US,443,111067,253,-5.134598394266354,50.855789748530164,66.96581345811363,33.950039324369875,49.260314148110595,20.213283224623023,0.769592718769234,0.009392045860068345,26.264909648507306,8.021144136755167,28.063896285812074,-7.990756611404724,0.9010297525565774,13.367442133271556,0.009887724438872564,1.1308204453372122,52.17391304347826,38.35614270103346,0.6994140486594557,-18.142859476410457,-0.396249360481032
512,2021,-,zero,453,113125,252,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2021,2020,Chronos_Small_US,453,113125,252,0.22716130378958033,52.617900552486184,86.39339074237553,14.580079984764808,44.17799185955435,4.961104243274845,0.2776719311887455,0.001363393987733463,17.86678337286663,1.9686921600297005,15.282691040605577,-4.378655154273887,0.19264338772406303,3.723298306216029,0.01926455881045267,1.7309353931953564,54.761904761904766,35.05142970846348,1.7047613160196176,-30.090325465188638,-1.6744883687386476
512,2022,-,zero,459,114838,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2022,2021,Chronos_Small_US,459,114838,251,-0.8291752291272436,49.536738710183045,67.17470669549499,32.64207720746282,48.18559733210086,6.865927728811124,0.3906918189380689,0.0017369321903449786,17.57376887868616,2.7245744955599696,13.736310323868828,-4.454162990053495,-0.4782580156711739,1.2631768912787744,0.0029117859357807863,0.28493425068029216,54.18326693227091,-13.133026305622039,-0.4576740642382727,19.99895403443317,0.6606734459841228
512,2023,-,zero,472,117179,249,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2023,2022,Chronos_Small_US,472,117179,249,-0.6103366918119191,49.68808404236254,48.1141455654249,51.359197677487465,49.69287177124443,-16.623877532436087,-1.0634268137819998,0.001281136482494431,15.632366343401182,-6.596776798585748,15.643896895944565,-5.754777695674034,-1.5031827150318198,6.923029587303186,0.0014970263128854257,0.17135152029134776,49.79919678714859,6.910222536200903,0.3860856183603019,-23.534100068636988,-1.0929243068896868
