model,cohort,ckpt,n,R2_OOS_%,acc_%,IC,LS_30d_%,long_30d_%,short_30d_%,LS_ann_%,LS_sharpe
TimesFM_20M_US,2017,2016,41,-16.02768834765311,51.54471544715447,-0.0745644599303136,-2.0152733257732267,-8.160267924386638,6.14499459861341,,
TimesFM_20M_US,2018,2017,62,-5.710153825425812,53.97849462365591,0.03125078693560978,5.7339145676072505,2.1946403870508,3.53927418055645,,
TimesFM_20M_US,2019,2018,35,-8.024419423683348,59.14285714285714,-0.17366946778711484,-5.686735867681953,-9.472546024933365,3.7858101572514125,,
TimesFM_20M_US,2020,2019,30,-9.14242503164957,50.33333333333333,0.34638487208008895,17.820792292127685,18.905468136674212,-1.0846758445465288,,
TimesFM_20M_US,2021,2020,29,-30.901981473269192,51.14942528735632,-0.18669950738916252,-1.166588809850851,-0.7603754026000787,-0.4062134072507723,,
TimesFM_20M_US,2022,2021,48,-13.901797255922133,53.125,0.19376899696048633,19.341435963308385,23.002380836731454,-3.6609448734230705,,
TimesFM_20M_US,2023,2022,41,-18.86184832489446,50.97560975609756,-0.3977351916376307,-8.585144709574369,-5.280220528320804,-3.3049241812535644,,
TimesFM_20M_US,ALL,-,286,-13.647103855029105,53.01864801864802,-0.037323424395433805,3.634628587166131,2.918439925745083,0.7161886614210482,30.53088013219551,0.9462864200605625
Chronos_Small_US,2017,2016,41,-2.5450486090779156,51.78861788617887,0.2898954703832753,8.695343602092722,-2.277197743756898,10.972541345849619,,
Chronos_Small_US,2018,2017,62,-0.987733585730699,53.01075268817205,0.2231371660245272,7.115268347971663,1.7162119934584052,5.399056354513259,,
Chronos_Small_US,2019,2018,35,-0.7548744171783861,52.85714285714286,-0.020168067226890758,-1.282588777287409,-3.787376361237677,2.5047875839502685,,
Chronos_Small_US,2020,2019,30,-0.9580837586740776,50.888888888888886,0.00778642936596218,10.137709910655621,18.50124996135242,-8.3635400506968,,
Chronos_Small_US,2021,2020,29,-0.4763337834667425,54.02298850574713,0.13103448275862067,4.768907952874615,0.22732752246790783,4.541580430406707,,
Chronos_Small_US,2022,2021,48,-2.1882728351889202,49.791666666666664,0.005210594876248371,0.48286570335316775,9.603318836758412,-9.120453133405244,,
Chronos_Small_US,2023,2022,41,-3.532716896257737,53.333333333333336,0.04006968641114983,-0.02220435726914584,2.172943436403215,-2.1951477936723607,,
Chronos_Small_US,ALL,-,286,-1.6938523119060651,52.2027972027972,0.09670939465612756,4.270757483198747,3.7366396636351125,0.5341178195636354,35.87436285886949,2.701548918508845
