window,year,ckpt,model,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,LS_maxdd_%,pred_std
21,2023,-,zero,44029,249,0.0,0.0,0.0,0.0,0.0,-26.910524928023808,-1.4845160992125035,27.44666430506335,0.0
21,2023,2022,TimesFM_20M_US,44029,249,-6.262302103940898,50.78243884712349,58.258456038011005,43.80379413314597,50.63465801539233,30.12110948532291,0.8730424738268499,15.935653158479068,0.011229366768448436
512,2023,-,zero,38871,249,0.0,0.0,0.0,0.0,0.0,2.902438565297306,0.1463896597027733,19.893229618180243,0.0
512,2023,2022,TimesFM_20M_US,38871,249,-4.695167271451561,50.82452213732602,49.81877396648632,51.78985580316628,50.80430460659979,100.96953655819135,3.02917382649199,14.441999008326235,0.009186664900071898
