window,year,ckpt,model,n_members,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,IC_mean,IC_t,IC_pos_%,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2017,-,zero,421,103229,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2017,2016,Chronos_Small_Synthetic,421,103229,251,-0.3019215730374114,52.01735946294161,72.49699311149178,29.398715456773427,49.04816361182428,5.734925410349943,0.5971136579480398,0.0010295179357347863,9.604411712935546,2.2757640517261675,10.3598222884693,-2.8341236564390386,-0.46019070644169113,2.2293983914380724,0.011292125825181014,1.4961567497735075,57.76892430278885,20.285535940624538,2.309081281790932,-14.550610530274591,-1.3944914542569322
512,2018,-,zero,429,105576,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2018,2017,Chronos_Small_Synthetic,429,105576,251,-0.701521927321469,50.329620368265516,59.85350283215557,40.282616735114935,49.7113133577473,4.715595479969955,0.4918338203740228,0.0015720497199290175,9.587782060989435,1.8712680476071248,9.829623982455082,-1.709605310021462,0.18942385539118295,0.7905244129103961,0.006100537122679467,0.8249329055955292,52.589641434262944,-8.625117698565422,-0.4694170831427771,13.340713178535374,0.7633098824035242
512,2019,-,zero,433,108468,252,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2019,2018,Chronos_Small_Synthetic,433,108468,252,-0.052375191803522014,53.48213297931187,84.53154650947991,15.688559105496616,44.97134924381535,2.1463149076688466,0.20196244223791945,0.0015659772569230764,10.627297253320032,0.851712264947955,8.581315161400493,-3.1353996713310046,-0.1276333880925399,3.118487373049832,0.008237580542050907,1.07008300196051,54.761904761904766,29.8133923585587,1.836843829827837,-27.667077450889842,-1.7436551987011455
512,2020,-,zero,443,111067,253,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2020,2019,Chronos_Small_Synthetic,443,111067,253,-8.154164315514812,51.7156311055489,83.9543248245277,17.518070484251528,45.10650388429743,11.555883362244865,0.5490804350470218,0.009770861927620372,21.04588439989717,4.58566800089082,15.058922048093216,-5.4057890446423436,1.9685573000958305,19.861061704871172,0.01060122454054725,1.1566665563536458,52.17391304347826,26.379268643711807,0.517039103972733,-14.823385281466921,-0.3280864977633794
512,2021,-,zero,453,113125,252,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2021,2020,Chronos_Small_Synthetic,453,113125,252,0.11593920734240815,51.995580110497244,75.68332861402135,25.484669586745383,47.92717789125229,18.753767981273707,0.9929761573957282,0.002076865086738214,18.886423245507814,7.44197142114036,12.782479178906602,-3.528721992552164,0.7481082356910321,4.954457798858968,0.022743941957171977,2.0453945998517606,54.36507936507936,41.62218328914481,2.2279222597949007,-22.868415307871096,-1.3074791437627409
512,2022,-,zero,459,114838,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2022,2021,Chronos_Small_Synthetic,459,114838,251,-1.460830497011134,49.25198975948728,73.79754014106972,25.653856074284242,46.40087791915853,-13.686122448890055,-0.9356125267924489,0.002408576313039286,14.627981196243761,-5.431000971781768,17.132468935264257,-3.9459436624828315,-0.6524172563030246,2.2684265092090468,-0.00302949418610958,-0.3731041969610371,51.39442231075697,-22.429779347571014,-0.7776080306445565,8.743656898680948,0.3135313062199107
512,2023,-,zero,472,117179,249,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2023,2022,Chronos_Small_Synthetic,472,117179,249,-0.8075137674190103,50.38189436673807,64.70237306111628,35.17726752881147,49.04061291728083,-8.464849736885808,-0.6863036203568363,0.0015442267448244125,12.33397214557108,-3.3590673559070665,14.80661566953474,-3.6272371124954237,-1.0902439339915702,2.979512479569567,0.005925937933861351,0.7547051145045754,48.59437751004016,11.982191639931015,0.6695121816112775,-20.44704137681682,-1.0656049295843582
