window,year,ckpt,model,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2017,-,zero,153388,251,0.0,,,,,,,0.0,,,,,,,,,,
512,2017,2016,Chronos_Small_US,153388,251,-1.3328037399805925,49.288079901948,57.683006965435666,44.891198165163594,50.05979598295759,45.30957681726133,3.296762405172626,0.003954989658556209,13.74365855002791,17.97999080050053,7.107009880288828,-2.360279075267007,-0.01402953718382375,0.7210623291943565,47.184935461499734,3.240766428691432,-1.8753586442383972,-0.11726848459227324
512,2018,-,zero,159436,251,0.0,,,,,,,0.0,,,,,,,,,,
512,2018,2017,Chronos_Small_US,159436,251,-0.60462546375597,51.24187761860558,57.22191837904003,45.6850027830885,51.17233455979967,55.5666721838622,2.924362372833359,0.00449899797720715,19.001295017356117,22.050266739627858,7.058448880875301,-3.0858515624704377,3.1322729960104203,29.45866188900139,23.19017502467025,1.040360429577492,32.376497159191956,1.4845800868830175
512,2019,-,zero,166477,252,0.0,,,,,,,0.0,,,,,,,,,,
512,2019,2018,Chronos_Small_US,166477,252,-1.2779226308908376,51.524234578950846,51.458721291123524,51.59321281475818,51.52179597499271,55.184715925758894,3.3578083478986036,0.004384793277714796,16.434742608313186,21.89869679593607,10.812441835454168,-5.259588830455099,-0.09773419747061698,4.960715784574566,53.16010855755617,2.900669518182833,2.024607368202702,0.10124193854681057
512,2020,-,zero,176277,253,0.0,,,,,,,0.0,,,,,,,,,,
512,2020,2019,Chronos_Small_US,176277,253,-2.7190265227128974,50.383770996783475,51.802723811048466,50.36227690455798,50.730702452385245,6.140614312734481,0.1685081546137394,0.01179592546157232,36.44105133552868,2.436751711402572,31.54482730518596,-10.43323696251552,0.3643351055296171,6.272009963991443,95.7171222098829,1.6849727362844766,-89.57650789714842,-2.0605148592002953
512,2021,-,zero,183714,252,0.0,,,,,,,0.0,,,,,,,,,,
512,2021,2020,Chronos_Small_US,183714,252,-1.7337136269182318,51.13709352580642,67.11421022997965,36.05658589413835,50.17192402342053,16.91960327043977,0.573648785040425,0.004674340506822547,29.49470775789658,6.7141282819205435,40.665807780017225,-9.290660164666585,-0.5774960608862264,3.134355340119212,50.381288757928615,2.026815896221566,-33.46168548748885,-0.7937845512230464
512,2022,-,zero,191701,251,0.0,,,,,,,0.0,,,,,,,,,,
512,2022,2021,Chronos_Small_US,191701,251,-1.0606282901322928,50.11189300003651,53.85005624545074,47.66310818719351,50.364618412457496,25.923559220786668,1.2250943023530474,0.004414713998628055,21.16046019559074,10.287126674915344,13.97359762936402,-4.542070548100478,-0.5440895958198597,0.8580258747552625,-24.22500922378672,-0.7983550039914552,50.14856844457339,1.2426714111353794
512,2023,-,zero,209394,249,0.0,,,,,,,0.0,,,,,,,,,,
512,2023,2022,Chronos_Small_US,209394,249,-1.4454174299869393,50.81234419324336,38.08383000272681,63.060631618405026,49.90870931124747,-6.936956901859116,-0.34487864149882175,0.0046742979147864185,20.11419690042712,-2.752760675340919,20.156873911288532,-4.183707123997414,-0.4075717154830648,0.5718770704123575,32.249137804559645,1.388218889682604,-39.186094706418764,-1.2689136800841776
