ckpt_year,test_year,model,n_fc,R2_oos_%,dir_hit_%,corr,bull_%,strat_ann_%,strat_dm_ann_%,bh_ann_%,strat_sharpe,strat_dm_sharpe,bh_sharpe,pred_cum_mean_%,pred_cum_std_%
2010,2011,TimesFM_20M_Global,50,-0.6913146773163348,46.0,-0.1859783913565426,76.0,-20.328462570855788,-16.523722339309444,-12.815494737311962,-1.1822926248389956,-1.2654126453020953,-0.6105696996790727,1.1715615803574664,1.407694801744579
2010,2012,TimesFM_20M_Global,50,0.1302617931016936,62.0,0.3054501800720288,74.0,23.849411689779785,12.561763245136003,13.092795433434844,1.6838251694425972,1.2905636320686986,0.8225890110974545,0.6079608212363712,1.0153685269874102
2010,2013,TimesFM_20M_Global,49,-0.828853972844712,51.02040816326531,-0.04704081632653061,51.02040816326531,7.8171235803784045,3.364524728743312,9.659011862503974,0.9853960506634125,0.5095965405028887,0.762225771263701,0.11773489891843103,0.9497790622817739
2010,2014,TimesFM_20M_Global,49,-0.4220600642212746,55.10204081632652,-0.17622448979591834,83.6734693877551,15.841024909633328,9.688713026188278,19.348912043878542,1.5000636513180066,1.3162149091211792,1.6766885908571623,0.96824810768261,0.8639982647194239
2010,2015,TimesFM_20M_Global,49,-0.5809186117580634,44.89795918367347,0.05775510204081632,87.75510204081633,3.56288664209774,5.592393494178927,-7.28637707664288,0.2897189035899842,0.6670332389247208,-0.5602236818818834,1.026902759232861,0.8715527635622096
2010,2016,TimesFM_20M_Global,49,0.6316652077643536,57.14285714285714,0.11540816326530612,81.63265306122449,11.931901333686046,11.21988666714846,23.406562475091498,0.8354201377701002,1.4426630695052762,1.46986999466773,0.9014047507948852,0.9834269260639362
2010,2017,TimesFM_20M_Global,49,0.3437304007575581,55.10204081632652,-0.15275510204081633,75.51020408163265,9.376080807115805,-3.2841644545581583,19.15115364091178,1.1655916667916553,-0.7423476598048596,2.013553056399466,0.7010395412800581,0.9319965730573266
2010,2018,TimesFM_20M_Global,50,-0.7345336543196357,42.0,-0.02914765906362545,94.0,-7.827039348832399,-15.16570513141826,-6.217438019071242,-0.5787588047890071,-1.8870424542640507,-0.432536655571013,1.2278039477985807,0.7862706557086853
2010,2019,TimesFM_20M_Global,48,1.1218883133576663,68.75,-0.2228614850195397,91.66666666666666,28.50180926486081,6.336999117767639,38.930339742098475,2.5703505178263604,1.2328856621340434,3.234250612396936,1.1531737018664419,0.7823106430826924
2010,2020,TimesFM_20M_Global,49,0.11530194224760315,67.3469387755102,-0.04285714285714285,91.83673469387756,19.792772589939077,26.417370007189223,36.711657005292,0.7904183494500618,2.213911415971263,1.3046100236556484,1.651421941747159,1.21255669053665
