ipo_year,ckpt_year,model,n,R2_oos_%,dir_hit_%,cum_sign_%,IC,T3-T1_%,blowup_%
2009,-,baseline:zero,39,0.0,,,,,0.0
2009,-,baseline:momentum,39,-8.327184967797475,50.085470085470085,43.58974358974359,-0.12793522267206478,0.8833114305308933,0.0
2009,-,baseline:reversal,39,-7.305387121486606,49.14529914529914,56.41025641025641,0.12793522267206478,-0.8833114305308933,0.0
2009,2008,Chronos_Small_Global,39,-0.8774162979354516,53.93162393162393,38.46153846153847,-0.07348178137651823,3.6921954878450625,0.0
2009,2008,Chronos_Small_Augmented,39,0.18989554435905331,51.53846153846153,43.58974358974359,-0.11356275303643724,0.10130338679327916,0.0
2010,-,baseline:zero,47,0.0,,,,,0.0
2010,-,baseline:momentum,47,-8.324745814307777,49.716312056737586,59.57446808510638,0.1095050878815911,2.5081477782456765,0.0
2010,-,baseline:reversal,47,-13.080650717028618,48.58156028368794,40.42553191489361,-0.1095050878815911,-2.508147778245675,0.0
2010,2009,Chronos_Small_US,47,-1.937850568592303,50.03548616039745,29.78723404255319,0.0071692876965772446,2.6003093939966235,0.0
2010,2009,Chronos_Small_Augmented,47,-0.5987260915127246,49.29078014184397,46.808510638297875,0.16894079555966696,4.6400814883031485,0.0
2011,-,baseline:zero,84,0.0,,,,,0.0
2011,-,baseline:momentum,84,-7.179809465291309,48.25396825396825,45.23809523809524,-0.019196112179811684,0.24464026917980497,0.0
2011,-,baseline:reversal,84,-8.920866494215396,50.595238095238095,54.761904761904766,0.019196112179811684,-0.24464026917980428,0.0
2011,2010,Chronos_Small_Global,84,-6.44647214584988,49.38467645891227,50.0,-0.020998278829604134,-3.329630460679854,0.0
2011,2010,Chronos_Small_US,84,-1.2069942094460107,50.23828435266084,45.23809523809524,-0.06192163612432925,-2.6831968473038583,0.0
2011,2010,Chronos_Small_Augmented,84,-5.407175002051767,49.42437475188567,50.0,0.1115520907158044,2.4168376926056503,0.0
2012,-,baseline:zero,61,0.0,,,,,0.0
2012,-,baseline:momentum,61,-9.897672740452613,49.34426229508197,55.73770491803278,0.08609201480698042,1.4177106188165145,0.0
2012,-,baseline:reversal,61,-11.291196208961708,48.90710382513661,44.26229508196721,-0.08609201480698042,-1.4177106188165145,0.0
2012,2011,Chronos_Small_Global,61,-2.5790372852904087,51.4207650273224,47.540983606557376,0.15906927551560018,7.55510893746605,0.0
2012,2011,Chronos_Small_US,61,-1.0934712318555917,49.18032786885246,45.90163934426229,0.07207826546800633,3.692406931848523,0.0
2012,2011,Chronos_Small_Augmented,61,-3.2943139006138544,48.16839803171132,47.540983606557376,0.12707562136435746,1.8563165350312987,0.0
2013,-,baseline:zero,59,0.0,,,,,0.0
2013,-,baseline:momentum,59,-7.535424270686342,48.30508474576271,45.76271186440678,-0.11519579193454121,-1.869269880312624,0.0
2013,-,baseline:reversal,59,-7.348075657800912,50.11299435028248,54.23728813559322,0.11519579193454121,1.869269880312624,0.0
2013,2012,Chronos_Small_Global,59,-61.36626254724102,51.61107970604861,45.76271186440678,-0.12542372881355934,-2.2672781920786593,0.0
2013,2012,Chronos_Small_US,59,-1.3925029142001666,53.050847457627114,47.45762711864407,-0.22092343658679137,-3.10694397545947,0.0
2013,2012,Chronos_Small_Augmented,59,-23.21344091936308,49.9152063312606,45.76271186440678,-0.06995908825248394,0.3330657820276053,0.0
2014,-,baseline:zero,51,0.0,,,,,0.0
2014,-,baseline:momentum,51,-8.334791751424842,49.869281045751634,50.98039215686274,0.049049773755656105,-3.262714890607172,0.0
2014,-,baseline:reversal,51,-7.047069501863068,48.03921568627451,49.01960784313725,-0.049049773755656105,3.262714890607172,0.0
2014,2013,Chronos_Small_Global,51,-11.340366737963281,49.54248366013072,45.09803921568628,0.054208144796380094,1.81677911498751,0.0
2014,2013,Chronos_Small_US,51,-0.9058433464823157,48.23529411764706,41.17647058823529,-0.023981900452488686,-3.66858415272647,0.0
2014,2013,Chronos_Small_Augmented,51,-17.68418109060739,49.673202614379086,45.09803921568628,0.07864253393665156,4.452731408324072,0.0
2015,-,baseline:zero,54,0.0,,,,,0.0
2015,-,baseline:momentum,54,-9.225417865444264,49.81481481481482,48.148148148148145,-0.16378883171335998,-6.076435647973784,0.0
2015,-,baseline:reversal,54,-7.243837433134104,48.641975308641975,51.85185185185185,0.16378883171335998,6.076435647973784,0.0
2015,2014,Chronos_Small_Global,54,-0.37747206434171066,52.345679012345684,37.03703703703704,-0.06399847531923003,-0.790426927658409,0.0
2015,2014,Chronos_Small_US,54,-0.3448056806635069,50.18518518518519,48.148148148148145,0.11553268534400608,4.845963525437256,0.0
2015,2014,Chronos_Small_Augmented,54,0.17892702008550643,50.89561457689932,50.0,0.06552315608919382,1.1292721738588845,0.0
2016,-,baseline:zero,58,0.0,,,,,0.0
2016,-,baseline:momentum,58,-4.616190302871481,48.9080459770115,44.827586206896555,0.08394598418899382,14.28518262221789,0.0
2016,-,baseline:reversal,58,-11.179282323062868,47.758620689655174,55.172413793103445,-0.08394598418899382,-14.28518262221789,0.0
2016,2015,Chronos_Small_Global,58,-31.00855048514457,47.241379310344826,50.0,0.20286689839736688,0.21127898060575995,0.0
2016,2015,Chronos_Small_US,58,-0.8775323831005988,49.02298850574713,55.172413793103445,0.22969023962594975,-2.8858230769021747,0.0
2016,2015,Chronos_Small_Augmented,58,-7.319520030586313,45.60092006900518,56.896551724137936,0.337844904487988,20.609578975191432,0.0
2017,-,baseline:zero,41,0.0,,,,,0.0
2017,-,baseline:momentum,41,-12.822324867564605,48.861788617886184,46.34146341463415,-0.0162020905923345,-1.3941751255907069,0.0
2017,-,baseline:reversal,41,-8.257602914836015,47.642276422764226,53.65853658536586,0.0162020905923345,1.3941751255907069,0.0
2017,2016,Chronos_Small_Global,41,-3.6415143507432024,49.959316517493896,58.536585365853654,0.1987804878048781,1.0019473532812455,0.0
2017,2016,Chronos_Small_US,41,0.4531671912790025,48.13008130081301,53.65853658536586,0.21184668989547042,5.966775547590488,0.0
2017,2016,Chronos_Small_Augmented,41,-0.9514546466315332,44.87804878048781,63.41463414634146,0.08118466898954706,2.738536471314798,0.0
2018,-,baseline:zero,62,0.0,,,,,0.0
2018,-,baseline:momentum,62,-5.434619672748298,48.225806451612904,50.0,0.04021555740223112,3.341719234679378,0.0
2018,-,baseline:reversal,62,-6.354991873018179,48.817204301075265,50.0,-0.04021555740223112,-3.3417192346793785,0.0
2018,2017,Chronos_Small_Global,62,-0.5749323987756405,51.55913978494624,58.06451612903226,0.1704061846843444,0.7464466585506458,0.0
2018,2017,Chronos_Small_US,62,-0.5401687172719827,50.43010752688172,54.83870967741935,0.11435118732844804,4.1774371842955045,0.0
2018,2017,Chronos_Small_Augmented,62,-3.5443789674577397,51.45161290322581,58.06451612903226,0.1818387852232379,6.142584112998186,0.0
2019,-,baseline:zero,35,0.0,,,,,0.0
2019,-,baseline:momentum,35,-5.665694705462898,52.38095238095239,40.0,-0.1296918767507003,1.3551103700284388,0.0
2019,-,baseline:reversal,35,-2.744101388174869,43.333333333333336,60.0,0.1296918767507003,-1.3551103700284388,0.0
2019,2018,Chronos_Small_Global,35,-0.2390974042163263,47.14285714285714,48.57142857142857,-0.1949579831932773,-2.0602764824467537,0.0
2019,2018,Chronos_Small_US,35,-0.9606682100004482,46.095238095238095,45.714285714285715,-0.0957983193277311,-1.6282907284369985,0.0
2019,2018,Chronos_Small_Augmented,35,-0.40297819705654714,47.714285714285715,51.42857142857142,-0.09747899159663866,-3.5964479069350324,0.0
2020,-,baseline:zero,30,0.0,,,,,0.0
2020,-,baseline:momentum,30,-1.0643385433459107,53.0,53.333333333333336,0.6146829810901,26.37497338348537,0.0
2020,-,baseline:reversal,30,-17.61449818675993,45.33333333333333,46.666666666666664,-0.6146829810901,-26.37497338348537,0.0
2020,2019,Chronos_Small_Global,30,-42.90146137679509,52.77777777777778,26.666666666666668,0.35261401557285876,15.434257097737136,0.0
2020,2019,Chronos_Small_US,30,-0.6169066831690273,53.34075723830735,23.333333333333332,0.29744160177975526,4.258475306207702,0.0
2020,2019,Chronos_Small_Augmented,30,-44.22603627718183,53.0,43.333333333333336,0.38331479421579534,17.26594935346823,0.0
2021,-,baseline:zero,29,0.0,,,,,0.0
2021,-,baseline:momentum,29,-9.88960571144666,51.839080459770116,58.620689655172406,-0.08325123152709359,2.5480799259988673,0.0
2021,-,baseline:reversal,29,-10.164342845410834,46.7816091954023,41.37931034482759,0.08325123152709359,-2.5480799259988673,0.0
2021,2020,Chronos_Small_Global,29,-0.987587457845085,49.42528735632184,58.620689655172406,-0.2502463054187192,-4.318953145004289,0.0
2021,2020,Chronos_Small_US,29,0.028805427341382916,47.12643678160919,58.620689655172406,-0.05960591133004924,4.575106321556385,0.0
2021,2020,Chronos_Small_Augmented,29,-5.874108341094408,49.310344827586206,65.51724137931035,0.008866995073891625,3.738868162483207,0.0
2022,-,baseline:zero,48,0.0,,,,,0.0
2022,-,baseline:momentum,48,-1.708419543910633,49.44444444444444,50.0,0.15686061658706035,14.95014500583832,0.0
2022,-,baseline:reversal,48,-7.0118179260634905,48.81944444444444,50.0,-0.15686061658706035,-14.95014500583832,0.0
2022,2021,Chronos_Small_Global,48,-17.005927473944272,51.041666666666664,35.41666666666667,0.2899478940512375,8.151639809451968,0.0
2022,2021,Chronos_Small_US,48,-1.1610427710528226,50.34722222222222,35.41666666666667,0.10138949196699955,-9.171631110185979,0.0
2022,2021,Chronos_Small_Augmented,48,-13.771948762551256,49.06184850590688,39.58333333333333,0.2190620929222753,8.296396134211012,0.0
2023,-,baseline:zero,41,0.0,,,,,0.0
2023,-,baseline:momentum,41,-7.603456235358674,46.09756097560976,41.46341463414634,-0.3324041811846691,-3.7898277004300525,0.0
2023,-,baseline:reversal,41,-4.244523743824824,52.19512195121951,58.536585365853654,0.3324041811846691,3.7898277004300525,0.0
2023,2022,Chronos_Small_Global,41,0.18241569870475205,52.52032520325203,53.65853658536586,0.3954703832752614,11.257766168005059,0.0
2023,2022,Chronos_Small_US,41,0.0717931307077313,51.138211382113816,60.97560975609756,0.320034843205575,11.539166183824385,0.0
2023,2022,Chronos_Small_Augmented,41,-0.6822916352976494,51.951219512195124,63.41463414634146,0.49320557491289213,17.960907814664438,0.0
2024,-,baseline:zero,66,0.0,,,,,0.0
2024,-,baseline:momentum,66,-7.328091369537781,47.474747474747474,43.93939393939394,0.027283164596597433,-0.48150042040087154,0.0
2024,-,baseline:reversal,66,-9.015529326233285,50.303030303030305,56.060606060606055,-0.027283164596597433,0.48150042040087154,0.0
2024,2023,Chronos_Small_Global,66,0.14792824203915256,51.81818181818182,42.42424242424242,0.12259680617889576,5.607966957982854,0.0
2024,2023,Chronos_Small_US,66,-1.0205997213780682,50.45454545454545,40.909090909090914,-0.003903559127439725,2.840982914826992,0.0
2024,2023,Chronos_Small_Augmented,66,-5.992913329854921,52.22222222222223,48.484848484848484,0.29656612044671754,8.841242401004711,0.0
2025,-,baseline:zero,76,0.0,,,,,0.0
2025,-,baseline:momentum,76,-9.836663059908467,49.473684210526315,52.63157894736842,0.03171565276828434,2.364895560667181,0.0
2025,-,baseline:reversal,76,-12.878643132667133,48.81578947368421,47.368421052631575,-0.03171565276828434,-2.364895560667181,0.0
2025,2023,Chronos_Small_Global,76,-1.3470615242681783,53.00570425625274,53.94736842105263,0.17260423786739573,6.769450496989599,0.0
2025,2023,Chronos_Small_US,76,-0.48304478384355587,51.77709521720053,57.89473684210527,0.09733424470266576,6.0484922128125715,0.0
2025,2023,Chronos_Small_Augmented,76,-1.4345630153714373,52.98507462686567,56.57894736842105,0.08328092959671907,4.591246221332825,0.0
