window,year,ckpt,model,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,IC_mean,IC_t,IC_pos_%,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2017,-,zero,10615,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2017,2016,TimesFM_20M_US,10615,246,-5.567143843738442,54.630240226095154,49.06103286384976,59.031877213695395,54.04192807525748,53.59198401703557,4.8739523273325736,0.0033337850454896395,10.99559052239756,21.266660324220464,4.938882109443354,-2.078535213037126,-0.15319636833206,0.6420629214313762,0.10811498728904757,8.645933050903217,70.32520325203252,39.72820635572205,3.353771907743825,13.863777661313524,1.253859283524523
512,2018,-,zero,10097,247,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2018,2017,TimesFM_20M_US,10097,247,-1.717318651620725,51.23303951668813,58.728040916166336,45.214285714285715,51.22735564079992,59.67695278011337,4.234492787932282,0.0036051219931332703,14.093058075381409,23.681330468298956,4.380554992961471,-2.515803244628964,0.2713139346567979,1.0854820100028912,0.08839368389470363,6.996810237313138,67.20647773279353,24.283376306343865,1.2448829940119372,35.393576473769514,1.917103145873802
512,2019,-,zero,10276,242,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2019,2018,TimesFM_20M_US,10276,242,-0.6411668223074596,49.47450369793694,67.2704816797036,33.51790328534515,48.445174329219945,12.299354527586518,1.1071137336362926,0.001306774986357782,11.109386645570313,4.880696241105761,10.172942567293596,-2.6982796862732332,-0.4382622277227098,1.1678869134203156,0.03927007287952212,3.3784128300842227,59.09090909090909,28.65804135745356,2.1685988166178944,-16.358686829867043,-1.370810585107425
512,2020,-,zero,11035,245,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2020,2019,TimesFM_20M_US,11035,245,-7.231374134366697,48.699592206615314,63.10792482077117,36.04017705141301,48.14618380054224,-8.289302614295899,-0.4943034506862606,0.004192047448582401,16.769663660626968,-3.2894057993237693,21.69264254965,-3.7535294232050154,-0.2546752004002787,3.01017098120724,0.02532753837943076,1.844408679884853,55.51020408163265,8.41536739323657,0.34386762429748063,-16.704670007532474,-0.7542762368799287
512,2021,-,zero,11392,244,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2021,2020,TimesFM_20M_US,11392,244,-5.4795575458791435,52.18574438202247,58.47054518843762,46.38879514006075,52.11201481919885,48.32317123528581,2.640139233120456,0.004339659518299095,18.303266217581747,19.175861601303897,15.582881866143373,-3.348755259633844,0.3855272687337641,2.3440403436947133,0.07282348552782536,4.942731617642526,60.65573770491803,44.42498901031409,2.01431495223329,3.8981822249717113,0.22232916004625097
