model,cohort,ckpt,n,R2_OOS_%,acc_%,IC,LS_30d_%,long_30d_%,short_30d_%,LS_ann_%,LS_sharpe
TimesFM_20M_Synthetic,2017,2016,41,-12.478324566257704,54.3089430894309,-0.10383275261324043,-2.1534548917686998,-8.798036701333553,6.644581809564853,,
TimesFM_20M_Synthetic,2018,2017,62,-16.65755156937574,50.53763440860215,-0.007428672156329481,-1.362026207313353,-0.3142778575928573,-1.0477483497204958,,
TimesFM_20M_Synthetic,2019,2018,35,-8.866825234990383,52.476190476190474,-0.1369747899159664,-3.311465034003687,-8.367646420519396,5.05618138651571,,
TimesFM_20M_Synthetic,2020,2019,30,-3.776126594029705,52.33333333333333,0.6266963292547274,26.650108664429162,26.67286232562569,-0.02275366119652733,,
TimesFM_20M_Synthetic,2021,2020,29,-27.3013859421839,50.114942528735625,-0.10394088669950736,3.8130169070936124,0.29307511492245614,3.5199417921711564,,
TimesFM_20M_Synthetic,2022,2021,48,-15.615829427007899,50.208333333333336,0.23719062092922275,10.146200896436126,11.153244814245308,-1.007043917809182,,
TimesFM_20M_Synthetic,2023,2022,41,-15.051408099239394,52.11382113821138,-0.397212543554007,-8.11800424032468,-5.280220528320804,-2.837783712003877,,
TimesFM_20M_Synthetic,ALL,-,286,-14.428006721859944,51.63170163170163,0.0163567578921285,3.666339442078354,2.1941429638609775,1.472196478217377,30.797251313458176,0.9106312718454095
